EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1631709018.660987,154238.500,25382,2,PI,1,100,158624
1631709018.693550,154271.000,25382,2,PI,1,100,158661
1631709018.737303,154314.667,25401,3,PI,1,100,158687
1631709018.781055,154358.333,25401,3,PI,1,100,158687
1631709018.824807,154402.000,25401,3,PI,1,100,158587
1631709018.862881,154440.000,25418,3,PI,1,100,158538
1631709018.900956,154478.000,25418,3,PI,1,100,158495
1631709018.939030,154516.000,25418,3,PI,1,100,158514
1631709018.980611,154557.500,25437,2,PI,1,100,158583
1631709019.022193,154599.000,25437,2,PI,1,100,158606
1631709019.059933,154636.667,25455,3,PI,1,100,158623
1631709019.097673,154674.333,25455,3,PI,1,100,158620
1631709019.135414,154712.000,25455,3,PI,1,100,158640
1631709019.175492,154752.000,25474,2,PI,1,100,158708
1631709019.215570,154792.000,25474,2,PI,1,100,158726
1631709019.253979,154830.333,25490,3,PI,1,100,158741
1631709019.292387,154868.667,25490,3,PI,1,100,158746
1631709019.330796,154907.000,25490,3,PI,1,100,158811
1631709019.369204,154945.333,25509,3,PI,1,100,158852
1631709019.407613,154983.667,25509,3,PI,1,100,158834
1631709019.446021,155022.000,25509,3,PI,1,100,158780
1631709019.487101,155063.000,25527,2,PI,1,100,158710
1631709019.528182,155104.000,25527,2,PI,1,100,158705
1631709019.566924,155142.667,25546,3,PI,1,100,158668
1631709019.605666,155181.333,25546,3,PI,1,100,158653
1631709019.644409,155220.000,25546,3,PI,1,100,158629
1631709019.684487,155260.000,25562,2,PI,1,100,158610
1631709019.724565,155300.000,25562,2,PI,1,100,158656
1631709019.762974,155338.333,25581,3,PI,1,100,158658
1631709019.801382,155376.667,25581,3,PI,1,100,158661
1631709019.839790,155415.000,25581,3,PI,1,100,158644
1631709019.880871,155456.000,25600,2,PI,1,100,158664
1631709019.921951,155497.000,25600,2,PI,1,100,158688
1631709019.959691,155534.667,25619,3,PI,1,100,158691
1631709019.997432,155572.333,25619,3,PI,1,100,158690
1631709020.035172,155610.000,25619,3,PI,1,100,158662
1631709020.073581,155648.333,25637,3,PI,1,100,158633
1631709020.111989,155686.667,25637,3,PI,1,100,158575
1631709020.150398,155725.000,25637,3,PI,1,100,158530
1631709020.190476,155765.000,25654,2,PI,1,100,158483
1631709020.230554,155805.000,25654,2,PI,1,100,158455
1631709020.268628,155843.000,25672,3,PI,1,100,158451
1631709020.306703,155881.000,25672,3,PI,1,100,158482
1631709020.344777,155919.000,25672,3,PI,1,100,158515
1631709020.386358,155960.500,25691,2,PI,1,100,158540
1631709020.427940,156002.000,25691,2,PI,1,100,158536
1631709020.466348,156040.333,25709,3,PI,1,100,158563
1631709020.504757,156078.667,25709,3,PI,1,100,158572
1631709020.543165,156117.000,25709,3,PI,1,100,158575
1631709020.581239,156155.000,25726,3,PI,1,100,158582
1631709020.619314,156193.000,25726,3,PI,1,100,158603
1631709020.657388,156231.000,25726,3,PI,1,100,158617
1631709020.698468,156272.000,25744,2,PI,1,100,158650
1631709020.739549,156313.000,25744,2,PI,1,100,158639
1631709020.776955,156350.333,25763,3,PI,1,100,158562
1631709020.814362,156387.667,25763,3,PI,1,100,158527
1631709020.851768,156425.000,25763,3,PI,1,100,158479
1631709020.893349,156466.500,25782,2,PI,1,100,158480
1631709020.934931,156508.000,25782,2,PI,1,100,158460
1631709020.972671,156545.667,25801,3,PI,1,100,158416
1631709021.010412,156583.333,25801,3,PI,1,100,158445
1631709021.048152,156621.000,25801,3,PI,1,100,158396
1631709021.089232,156662.000,25817,2,PI,1,100,158386
1631709021.130312,156703.000,25817,2,PI,1,100,158364
1631709021.168387,156741.000,25836,3,PI,1,100,158323
1631709021.206461,156779.000,25836,3,PI,1,100,158317
1631709021.244536,156817.000,25836,3,PI,1,100,158291
1631709021.285616,156858.000,25854,2,PI,1,100,158366
1631709021.326696,156899.000,25854,2,PI,1,100,158423
1631709021.364437,156936.667,25873,3,PI,1,100,158443
1631709021.402177,156974.333,25873,3,PI,1,100,158457
1631709021.439917,157012.000,25873,3,PI,1,100,158375
1631709021.481499,157053.500,25889,2,PI,1,100,158373
1631709021.523080,157095.000,25889,2,PI,1,100,158363
1631709021.561154,157133.000,25908,3,PI,1,100,158341
1631709021.599229,157171.000,25908,3,PI,1,100,158373
1631709021.637303,157209.000,25908,3,PI,1,100,158433
1631709021.681055,157252.667,25926,3,PI,1,100,158456
1631709021.724808,157296.333,25926,3,PI,1,100,158478
1631709021.768560,157340.000,25926,3,PI,1,100,158500
1631709021.800622,157372.000,25946,2,PI,1,100,158505
1631709021.832685,157404.000,25946,2,PI,1,100,158516
1631709021.876437,157447.667,25964,3,PI,1,100,158528
1631709021.920189,157491.333,25964,3,PI,1,100,158509
1631709021.963942,157535.000,25964,3,PI,1,100,158551
1631709022.001682,157572.667,25981,3,PI,1,100,158545
1631709022.039422,157610.333,25981,3,PI,1,100,158571
1631709022.077163,157648.000,25981,3,PI,1,100,158591
1631709022.119245,157690.000,25999,2,PI,1,100,158559
1631709022.161327,157732.000,25999,2,PI,1,100,158538
1631709022.199402,157770.000,26018,3,PI,1,100,158474
1631709022.237476,157808.000,26018,3,PI,1,100,158451
1631709022.275550,157846.000,26018,3,PI,1,100,158437
1631709022.316130,157886.500,26036,2,PI,1,100,158419
1631709022.356709,157927.000,26036,2,PI,1,100,158396
1631709022.394783,157965.000,26053,3,PI,1,100,158385
1631709022.432858,158003.000,26053,3,PI,1,100,158401
1631709022.470932,158041.000,26053,3,PI,1,100,158400
1631709022.512012,158082.000,26071,2,PI,1,100,158403
1631709022.553093,158123.000,26071,2,PI,1,100,158394
1631709022.589664,158159.500,26095,4,PI,1,100,158392
1631709022.626236,158196.000,26095,4,PI,1,100,158430
1631709022.662807,158232.500,26095,4,PI,1,100,158461
1631709022.699379,158269.000,26095,4,PI,1,100,158472
1631709022.737787,158307.333,26114,3,PI,1,100,158469
1631709022.776196,158345.667,26114,3,PI,1,100,158469
1631709022.814604,158384.000,26114,3,PI,1,100,158500
1631709022.858022,158427.333,26133,3,PI,1,100,158459
1631709022.901440,158470.667,26133,3,PI,1,100,158405
1631709022.944859,158514.000,26133,3,PI,1,100,158352
1631709022.977923,158547.000,26151,2,PI,1,100,158339
1631709023.010988,158580.000,26151,2,PI,1,100,158336
1631709023.054406,158623.333,26168,3,PI,1,100,158349
1631709023.097824,158666.667,26168,3,PI,1,100,158343
1631709023.141242,158710.000,26168,3,PI,1,100,158320
1631709023.174307,158743.000,26186,2,PI,1,100,158375
1631709023.207371,158776.000,26186,2,PI,1,100,158394
1631709023.251458,158820.000,26205,3,PI,1,100,158409
1631709023.295544,158864.000,26205,3,PI,1,100,158387
1631709023.339630,158908.000,26205,3,PI,1,100,158416
1631709023.372194,158940.500,26223,2,PI,1,100,158468
1631709023.404757,158973.000,26223,2,PI,1,100,158478
1631709023.447841,159016.000,26242,3,PI,1,100,158486
1631709023.490926,159059.000,26242,3,PI,1,100,158481
1631709023.534010,159102.000,26242,3,PI,1,100,158517
1631709023.572418,159140.333,26258,3,PI,1,100,158506
1631709023.610826,159178.667,26258,3,PI,1,100,158447
1631709023.649235,159217.000,26258,3,PI,1,100,158413
1631709023.689814,159257.500,26277,2,PI,1,100,158381
1631709023.730394,159298.000,26277,2,PI,1,100,158364
1631709023.768802,159336.333,26296,3,PI,1,100,158356
1631709023.807210,159374.667,26296,3,PI,1,100,158357
1631709023.845619,159413.000,26296,3,PI,1,100,158361
1631709023.886699,159454.000,26315,2,PI,1,100,158360
1631709023.927779,159495.000,26315,2,PI,1,100,158380
1631709023.965854,159533.000,26331,3,PI,1,100,158380
1631709024.003928,159571.000,26331,3,PI,1,100,158376
1631709024.042002,159609.000,26331,3,PI,1,100,158395
1631709024.080411,159647.333,26350,3,PI,1,100,158387
1631709024.118819,159685.667,26350,3,PI,1,100,158422
1631709024.157228,159724.000,26350,3,PI,1,100,158445
1631709024.197306,159764.000,26368,2,PI,1,100,158455
1631709024.237384,159804.000,26368,2,PI,1,100,158461
1631709024.275793,159842.333,26387,3,PI,1,100,158460
1631709024.314201,159880.667,26387,3,PI,1,100,158473
1631709024.352609,159919.000,26387,3,PI,1,100,158430
1631709024.393189,159959.500,26405,2,PI,1,100,158382
1631709024.433768,160000.000,26405,2,PI,1,100,158346
1631709024.471843,160038.000,26422,3,PI,1,100,158296
1631709024.509917,160076.000,26422,3,PI,1,100,158325
1631709024.547991,160114.000,26422,3,PI,1,100,158326
1631709024.586066,160152.000,26440,3,PI,1,100,158299
1631709024.624140,160190.000,26440,3,PI,1,100,158236
1631709024.662215,160228.000,26440,3,PI,1,100,158205
1631709024.703295,160269.000,26459,2,PI,1,100,158168
1631709024.744375,160310.000,26459,2,PI,1,100,158117
1631709024.782784,160348.333,26478,3,PI,1,100,158103
1631709024.821192,160386.667,26478,3,PI,1,100,158038
1631709024.859600,160425.000,26478,3,PI,1,100,158003
1631709024.900681,160466.000,26495,2,PI,1,100,157994
1631709024.941761,160507.000,26495,2,PI,1,100,157918
1631709024.979835,160545.000,26513,3,PI,1,100,157777
1631709025.017910,160583.000,26513,3,PI,1,100,157725
1631709025.055984,160621.000,26513,3,PI,1,100,157673
1631709025.097064,160662.000,26532,2,PI,1,100,157651
1631709025.138145,160703.000,26532,2,PI,1,100,157725
1631709025.175885,160740.667,26550,3,PI,1,100,157733
1631709025.213625,160778.333,26550,3,PI,1,100,157802
1631709025.251366,160816.000,26550,3,PI,1,100,157903
1631709025.291945,160856.500,26567,2,PI,1,100,157982
1631709025.332525,160897.000,26567,2,PI,1,100,158087
1631709025.370933,160935.333,26585,3,PI,1,100,158223
1631709025.409341,160973.667,26585,3,PI,1,100,158318
1631709025.447750,161012.000,26585,3,PI,1,100,158422
1631709025.488329,161052.500,26604,2,PI,1,100,158427
1631709025.528908,161093.000,26604,2,PI,1,100,158477
1631709025.566983,161131.000,26622,3,PI,1,100,158488
1631709025.605057,161169.000,26622,3,PI,1,100,158424
1631709025.643131,161207.000,26622,3,PI,1,100,158321
1631709025.686884,161250.667,26641,3,PI,1,100,158277
1631709025.730636,161294.333,26641,3,PI,1,100,158129
1631709025.774388,161338.000,26641,3,PI,1,100,157852
1631709025.806952,161370.500,26658,2,PI,1,100,157864
1631709025.839515,161403.000,26658,2,PI,1,100,157905
1631709025.882933,161446.333,26677,3,PI,1,100,157918
1631709025.926352,161489.667,26677,3,PI,1,100,157885
1631709025.969770,161533.000,26677,3,PI,1,100,157930
1631709026.002834,161566.000,26695,2,PI,1,100,157943
1631709026.035899,161599.000,26695,2,PI,1,100,157981
1631709026.079317,161642.333,26714,3,PI,1,100,157992
1631709026.122736,161685.667,26714,3,PI,1,100,158002
1631709026.166154,161729.000,26714,3,PI,1,100,158050
1631709026.204228,161767.000,26730,3,PI,1,100,158103
1631709026.242302,161805.000,26730,3,PI,1,100,158174
1631709026.280377,161843.000,26730,3,PI,1,100,158308
1631709026.320956,161883.500,26749,2,PI,1,100,158373
1631709026.361535,161924.000,26749,2,PI,1,100,158369
1631709026.399610,161962.000,26767,3,PI,1,100,158361
1631709026.437684,162000.000,26767,3,PI,1,100,158379
1631709026.475759,162038.000,26767,3,PI,1,100,158459
1631709026.516839,162079.000,26786,2,PI,1,100,158529
1631709026.557919,162120.000,26786,2,PI,1,100,158620
1631709026.595994,162158.000,26804,3,PI,1,100,158653
1631709026.634068,162196.000,26804,3,PI,1,100,158700
1631709026.672143,162234.000,26804,3,PI,1,100,158763
1631709026.710217,162272.000,26822,3,PI,1,100,158819
1631709026.748291,162310.000,26822,3,PI,1,100,158894
1631709026.786366,162348.000,26822,3,PI,1,100,158993
1631709026.826945,162388.500,26840,2,PI,1,100,159075
1631709026.867524,162429.000,26840,2,PI,1,100,159157
1631709026.905265,162466.667,26859,3,PI,1,100,159211
1631709026.943005,162504.333,26859,3,PI,1,100,159246
1631709026.980746,162542.000,26859,3,PI,1,100,159205
1631709027.022828,162584.000,26877,2,PI,1,100,159172
1631709027.064910,162626.000,26877,2,PI,1,100,159164
1631709027.102650,162663.667,26894,3,PI,1,100,159198
1631709027.140391,162701.333,26894,3,PI,1,100,159257
1631709027.178131,162739.000,26894,3,PI,1,100,159302
1631709027.216206,162777.000,26912,3,PI,1,100,159306
